peak_index,gene_index
8,4
9,6
22,6
23,6
33,6
34,7
35,7
39,7
44,7
48,7
56,7
57,7
59,7
60,7
61,7
63,7
64,7
65,8
66,8
67,8
68,10
69,16
71,16
77,16
78,16
79,16
80,16
81,16
83,16
84,16
85,16
86,16
87,17
88,17
89,17
90,17
91,17
92,17
93,18
94,18
95,19
119,19
120,19
121,19
122,19
123,19
124,21
125,22
135,22
136,22
137,22
138,22
139,22
140,22
141,22
142,23
143,23
144,23
145,23
146,23
147,23
148,23
150,24
151,24
152,24
153,24
154,24
155,24
156,24
157,24
158,24
159,24
160,24
161,24
162,25
163,25
164,25
165,25
166,25
167,28
168,28
169,28
172,28
173,29
183,29
184,30
185,30
186,30
187,30
188,30
189,30
190,30
191,30
200,30
201,30
202,30
205,30
224,31
225,31
226,31
227,31
228,31
229,31
230,31
231,31
248,31
249,31
250,31
251,31
252,31
253,31
254,31
255,31
256,31
257,32
258,32
259,33
260,33
261,33
262,33
263,33
264,33
269,34
270,34
271,34
272,34
273,34
274,34
275,34
276,34
277,34
278,35
279,35
280,35
281,35
282,36
283,36
284,38
285,40
286,40
287,40
288,41
289,41
290,42
291,42
292,42
293,42
294,43
304,43
305,43
306,45
307,45
308,45
311,45
312,45
313,45
314,45
315,45
316,45
317,46
318,46
322,46
323,47
324,49
325,49
326,49
327,49
328,49
329,49
330,49
331,49
332,49
333,53
334,53
335,53
346,54
347,54
348,56
349,56
350,56
351,56
372,56
373,56
374,56
375,56
376,56
377,56
378,58
379,58
380,60
381,60
382,61
383,61
384,61
385,61
386,61
387,61
388,62
389,64
390,64
391,64
392,64
393,64
394,64
395,68
396,68
397,69
398,69
399,69
400,69
401,69
402,69
403,69
404,69
405,69
406,71
407,71
408,71
409,71
410,71
411,71
412,71
413,71
418,72
419,72
420,73
444,73
445,73
460,73
461,73
462,73
463,73
465,73
466,73
467,73
468,73
469,73
470,73
487,73
488,73
489,73
490,73
491,73
492,73
493,73
494,73
495,74
496,77
497,77
504,79
505,79
506,79
507,79
508,79
509,79
510,79
511,79
512,79
513,79
514,79
515,79
516,79
517,79
518,79
519,79
520,80
521,82
522,82
523,82
524,82
525,82
526,82
532,82
533,82
534,82
535,82
536,82
538,82
539,82
540,82
541,82
542,82
543,82
544,82
545,82
546,82
547,82
548,82
552,82
553,82
554,82
555,83
556,83
557,83
558,83
559,84
560,84
561,84
562,85
563,85
569,85
570,87
571,87
572,87
573,87
574,87
577,87
578,87
579,88
580,89
581,90
582,90
583,92
584,92
605,92
606,93
607,93
608,93
609,93
610,93
611,93
612,93
613,93
614,93
615,93
616,93
634,93
635,93
636,93
637,94
638,95
639,95
640,97
641,97
644,97
645,99
647,99
648,100
649,100
650,101
659,101
660,104
661,104
662,105
663,105
664,105
665,106
666,106
667,106
668,108
669,108
670,108
671,108
672,108
673,108
674,108
676,108
677,108
683,109
684,109
685,110
686,110
687,110
688,110
689,110
690,112
691,113
692,114
693,114
694,114
695,114
696,114
697,114
698,114
699,114
700,114
701,114
702,114
703,114
704,114
709,114
710,114
712,114
713,114
714,114
715,114
716,114
717,115
718,115
719,115
720,116
721,116
722,116
723,116
724,116
725,116
731,116
732,116
755,118
756,118
757,118
758,118
759,118
760,118
761,118
762,118
763,119
764,119
765,119
766,119
767,119
768,119
769,119
770,119
771,121
772,121
773,124
774,125
775,125
776,125
777,125
778,125
779,125
780,125
781,125
782,125
783,126
807,126
808,126
809,126
810,126
811,126
812,126
813,127
814,128
818,128
819,128
820,128
821,130
822,131
823,131
824,131
825,131
826,131
827,131
828,131
829,131
830,131
831,131
832,131
845,131
846,131
847,131
848,131
849,131
850,131
851,131
852,131
853,131
854,131
