,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
gene_0,1,3,2,0,3,2,0,1,2,1,1,0,0,0,3,0,3,2,2,6,1,1,0,5,1,2,2,2,1,2
gene_1,0,1,1,1,1,0,2,0,0,0,0,4,5,0,0,0,1,0,0,0,0,2,1,0,0,3,0,0,0,1
gene_2,10,15,6,4,1,0,1,3,4,6,5,1,4,0,0,1,12,4,8,8,1,3,3,4,1,6,5,1,3,1
gene_3,2,10,8,0,7,2,1,2,1,1,0,3,6,1,9,0,4,0,4,9,12,0,1,2,7,13,2,2,2,8
gene_4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene_6,0,4,2,1,3,1,0,0,0,8,0,0,3,0,3,4,4,0,3,3,1,0,2,2,2,0,0,0,0,2
gene_7,1,1,0,1,3,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
gene_8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1
gene_9,2,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,4,1,0,0,1,0,1,1,0,0,0
gene_10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_11,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
gene_12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,1,1,0,0,1,0,0,0,1,0,1,0
gene_13,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
gene_14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gene_15,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0
gene_16,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
gene_17,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,1,1,1,2,4,0,0,0,1,0,0,1,0,0,0
gene_18,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
gene_20,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,1,0
gene_21,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,1,1,0,0,2,1,0,2,0
gene_22,1,5,2,1,3,0,0,0,4,3,0,0,0,0,1,0,2,0,0,0,0,1,1,1,1,1,4,0,1,0
